song_title,artist,release,track_uri,spotify_id,duration,explicit,popularity,is_popular,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
アイドル,YOASOBI,4/12/2023,7ovUcF5uHTBRzUpB6ZOmvt,7ovUcF5uHTBRzUpB6ZOmvt,213233,FALSE,91,0,single,0.574,0.935,1,-2.783,1,0.0926,0.112,1.07E-06,0.367,0.836,166.008,4
strobo,Vaundy,5/27/2020,10zz9RZt9DnqcxNWksRNrx,10zz9RZt9DnqcxNWksRNrx,224806,FALSE,81,0,album,0.425,0.939,2,-3.498,1,0.054,0.00361,0,0.331,0.638,150.015,4
Subtitle,OFFICIAL HIGE DANDISM,10/12/2022,49F3htNmwzPKFycPdOrDvf,49F3htNmwzPKFycPdOrDvf,305509,FALSE,79,0,single,0.649,0.683,6,-6.49,1,0.0424,0.0313,0,0.118,0.381,130,4
TATTOO,OFFICIAL HIGE DANDISM,4/21/2023,36jIu8oPR1Z4cguMuHxUXA,36jIu8oPR1Z4cguMuHxUXA,288099,FALSE,78,0,single,0.481,0.901,0,-5.629,1,0.163,0.0114,0,0.314,0.817,194.084,4
ケセラセラ,Mrs. GREEN APPLE,4/25/2023,406ZlqOP9nLQxJFBY7d9S4,406ZlqOP9nLQxJFBY7d9S4,272965,FALSE,78,0,single,0.757,0.58,6,-4.574,0,0.0328,0.029,0,0.0367,0.698,115.01,4
そんなbitterな話,Vaundy,3/13/2023,4QlSFkbRxZWkHDF1MqBaEY,4QlSFkbRxZWkHDF1MqBaEY,276082,FALSE,78,0,single,0.427,0.689,9,-4.35,1,0.0354,0.0918,0,0.102,0.733,178.077,4
絆ノ奇跡,MAN WITH A MISSION,4/10/2023,2VBLFxCUyFp5BfmsZpxcis,2VBLFxCUyFp5BfmsZpxcis,223320,FALSE,82,0,single,0.436,0.951,7,-4.748,0,0.202,0.0046,0,0.149,0.428,169.955,4
ダンスホール,Mrs. GREEN APPLE,5/23/2022,4NaaF28BeO9WzjDrSS71Nz,4NaaF28BeO9WzjDrSS71Nz,203149,FALSE,77,0,single,0.736,0.695,7,-3.87,1,0.0468,0.0209,0,0.0517,0.784,109.976,4
祝福,YOASOBI,10/1/2022,7ajpbW6tBpqUI9foCtwlLw,7ajpbW6tBpqUI9foCtwlLw,196235,FALSE,79,0,single,0.553,0.958,4,-3.159,0,0.073,0.0186,3.08E-05,0.297,0.541,170.045,4
美しい鰭,SPITZ,4/10/2023,3RauRsiIxUOQTS8h9sVWcP,3RauRsiIxUOQTS8h9sVWcP,209777,FALSE,76,0,single,0.551,0.909,1,-3.711,1,0.0295,0.0101,0.000313,0.204,0.76,98.048,4
レイジーサンデー,Saucy Dog,8/25/2021,1Vqs0lXeJafYZz2sxnfB3V,1Vqs0lXeJafYZz2sxnfB3V,234323,FALSE,76,0,album,0.596,0.735,9,-6.362,1,0.0332,0.0748,0,0.269,0.524,108.106,4
Memories,Tani Yuuki,12/8/2021,4IfrM44LofE9bSs6TDZS49,4IfrM44LofE9bSs6TDZS49,278118,FALSE,75,0,album,0.628,0.775,2,-4.479,1,0.0535,0.159,0,0.33,0.674,106.382,3
KICK BACK,Kenshi Yonezu,10/12/2022,3khEEPRyBeOUabbmOPJzAG,3khEEPRyBeOUabbmOPJzAG,193495,FALSE,84,0,single,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36E-06,0.0891,0.292,101.921,4
LADY,Kenshi Yonezu,3/21/2023,7w6NWogvAAFdEhD9MA2uvv,7w6NWogvAAFdEhD9MA2uvv,207166,FALSE,77,0,single,0.751,0.55,2,-7.101,1,0.0534,0.28,0.000249,0.101,0.867,90.952,4
壱,Yuuri,1/12/2022,4JK1kDUdH9RTBQrrSO1QfR,4JK1kDUdH9RTBQrrSO1QfR,230600,FALSE,76,0,album,0.367,0.671,5,-4.604,1,0.0478,0.222,0,0.494,0.691,179.833,4
青と夏,Mrs. GREEN APPLE,7/31/2018,1sIIlVrnPhrvmTrHtzM7tV,1sIIlVrnPhrvmTrHtzM7tV,307066,FALSE,76,0,single,0.502,0.632,0,-4.612,1,0.0273,0.447,0,0.103,0.308,152.014,4
ひみつスタジオ,SPITZ,5/17/2023,1H3qOzheTPhE7aVvJOWfvA,1H3qOzheTPhE7aVvJOWfvA,211920,FALSE,75,0,album,0.545,0.913,1,-3.565,1,0.0298,0.0107,0.00029,0.245,0.747,98.047,4
愛の花,Aimyon,4/5/2023,4iBO3Jg6kSXZHw06db0ds3,4iBO3Jg6kSXZHw06db0ds3,242792,FALSE,75,0,single,0.469,0.507,10,-6.21,1,0.0303,0.287,0,0.0773,0.469,170.028,3
弐,Yuuri,3/29/2023,7M0dIdZWN1FDcveRdoOzbZ,7M0dIdZWN1FDcveRdoOzbZ,228760,FALSE,75,0,album,0.364,0.628,10,-6.142,1,0.0319,0.238,0,0.0931,0.612,93.792,3
Soranji,Mrs. GREEN APPLE,10/18/2022,6O4twzzHHIM6mmTqPpJNYE,6O4twzzHHIM6mmTqPpJNYE,341443,FALSE,75,0,single,0.476,0.661,5,-5.197,1,0.044,0.0604,0,0.144,0.406,156.057,4
リンジュー・ラヴ,Macaroni Empitsu,1/14/2023,0NUJhYxwcAAB4UQULseQyX,0NUJhYxwcAAB4UQULseQyX,185945,FALSE,74,0,single,0.666,0.763,11,-5.96,1,0.0281,0.246,0,0.0879,0.663,103.01,4
名前は片想い,indigo la End,1/25/2023,0o3zVVGJkb1QIOMF9xySiu,0o3zVVGJkb1QIOMF9xySiu,213793,FALSE,75,0,single,0.71,0.873,9,-3.579,1,0.0391,0.0906,2.06E-05,0.122,0.837,121.983,4
Magic,Mrs. GREEN APPLE,6/13/2023,0csHMdBheTvp9Oay1hM1WF,0csHMdBheTvp9Oay1hM1WF,263106,FALSE,65,0,single,0.671,0.758,7,-3.793,1,0.0474,0.0604,0,0.332,0.537,117.51,4
Smile Again,BE:FIRST,4/26/2023,6EJDyT2T7pEeLLhNRR416r,6EJDyT2T7pEeLLhNRR416r,202049,FALSE,75,0,single,0.706,0.769,11,-5.341,0,0.0738,0.0384,0,0.12,0.339,107.917,4
THE BOOK,YOASOBI,1/6/2021,1zd35Y44Blc1CwwVbW3Qnk,1zd35Y44Blc1CwwVbW3Qnk,248026,FALSE,77,0,album,0.725,0.853,10,-3.193,1,0.0516,0.305,0,0.115,0.707,134.991,4
ハッピーエンドへの期待は,Macaroni Empitsu,1/12/2022,5W7Y92LB4jWvu9NeEQ0GZl,5W7Y92LB4jWvu9NeEQ0GZl,219252,FALSE,74,0,album,0.598,0.511,4,-6.015,1,0.0423,0.245,0,0.0732,0.652,171.845,4
残響散歌,Aimer,12/6/2021,7v8wKvNQQIxkugCFFjrkaO,7v8wKvNQQIxkugCFFjrkaO,184893,FALSE,80,0,single,0.367,0.896,11,-4.002,1,0.091,0.000627,0,0.207,0.38,170.863,4
ウタの歌 ONE PIECE FILM RED,Ado,8/9/2022,28MATCYDctW5EiBa2repxb,28MATCYDctW5EiBa2repxb,226813,FALSE,73,0,album,0.49,0.987,7,-2.279,1,0.253,0.049,3.24E-06,0.406,0.451,175.064,4
エスカパレード,OFFICIAL HIGE DANDISM,4/11/2018,278JqkBGkjDovOYAwE8TW7,278JqkBGkjDovOYAwE8TW7,324633,FALSE,75,0,album,0.516,0.791,3,-1.927,1,0.0318,0.00345,0,0.141,0.48,96.921,4
Boom Boom Back,BE:FIRST,2/13/2023,37xJCjdzJ17S1jCDz3GwsB,37xJCjdzJ17S1jCDz3GwsB,188400,FALSE,74,0,single,0.786,0.776,5,-4.553,0,0.0614,0.0484,0,0.0593,0.647,100.006,4
Assort,Novelbright,5/16/2022,1VHL1PIkhDwWbFc65xHwOr,1VHL1PIkhDwWbFc65xHwOr,232453,FALSE,73,0,album,0.697,0.556,6,-5.089,1,0.0364,0.698,0,0.0991,0.404,89.987,4
ユーモア,back number,1/17/2023,34ayWAUrQcrjlKZOJAzqke,34ayWAUrQcrjlKZOJAzqke,235693,FALSE,73,0,album,0.483,0.629,1,-3.408,1,0.0276,0.288,0,0.143,0.459,77.968,4
Attitude,Mrs. GREEN APPLE,10/1/2019,5BC6kr6etk2Y9J62AyI4i3,5BC6kr6etk2Y9J62AyI4i3,270026,FALSE,73,0,album,0.31,0.891,4,-1.66,1,0.0469,0.00157,0,0.284,0.748,184.886,4
壱,Yuuri,1/12/2022,4kPlQKwtPrnqLgrmmKFSlA,4kPlQKwtPrnqLgrmmKFSlA,286360,FALSE,73,0,album,0.463,0.603,7,-5.464,1,0.0276,0.495,0,0.167,0.477,148.089,4
ウタの歌 ONE PIECE FILM RED,Ado,8/9/2022,5YQNjKZofFhlBCIzTVY6rW,5YQNjKZofFhlBCIzTVY6rW,257079,FALSE,72,0,album,0.577,0.864,4,-2.92,1,0.0447,0.208,0,0.355,0.698,96.04,4
ユーモア,back number,1/17/2023,3RvdkNMcSy71m0aT6UF9Uf,3RvdkNMcSy71m0aT6UF9Uf,288013,FALSE,73,0,album,0.424,0.761,10,-3.526,1,0.0305,0.0103,0,0.145,0.424,145.816,4
コリンズ,10-FEET,12/14/2022,6zjk7Qbwb9DZ4ykUUoqknh,6zjk7Qbwb9DZ4ykUUoqknh,286000,FALSE,72,0,album,0.445,0.94,7,-4.16,1,0.175,2.77E-05,1.34E-05,0.32,0.349,150.082,4
ミックスナッツ,OFFICIAL HIGE DANDISM,4/15/2022,60ReNXcPcsVFd7nUuQw5HZ,60ReNXcPcsVFd7nUuQw5HZ,213438,FALSE,73,0,single,0.542,0.918,6,-5.074,1,0.0937,0.0101,0,0.259,0.784,150.094,4
